instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,route_gap,iterations,time,time_limit,seed,feasible,benchmark_feasible,mode,status,error,wall_time
XML100_3115_16,XML,cvrplib/XML/XML100_3115_16.vrp,101,,,14221.0,,5,,0,0.007326831999307615,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07521786699999211
XML100_3115_15,XML,cvrplib/XML/XML100_3115_15.vrp,101,,,16503.0,,7,,0,0.004333352000685409,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07864706800046406
XML100_3115_17,XML,cvrplib/XML/XML100_3115_17.vrp,101,,,14365.0,,5,,0,0.004962539999723958,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07522534599956998
XML100_3115_18,XML,cvrplib/XML/XML100_3115_18.vrp,101,,,16126.0,,7,,0,0.0049223079995499575,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07387247799942998
XML100_3115_19,XML,cvrplib/XML/XML100_3115_19.vrp,101,,,14360.0,,6,,0,0.005127637000441609,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07380939999984548
XML100_3115_20,XML,cvrplib/XML/XML100_3115_20.vrp,101,,,15646.0,,7,,0,0.006056367999917711,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0765828989997317
XML100_3115_21,XML,cvrplib/XML/XML100_3115_21.vrp,101,,,12293.0,,5,,0,0.005696457999874838,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0793824250004036
XML100_3115_22,XML,cvrplib/XML/XML100_3115_22.vrp,101,,,13389.0,,5,,0,0.006349422000312188,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07847348100040108
XML100_3115_24,XML,cvrplib/XML/XML100_3115_24.vrp,101,,,15525.0,,6,,0,0.0063947670005291,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07456887800071854
XML100_3115_23,XML,cvrplib/XML/XML100_3115_23.vrp,101,,,15045.0,,6,,0,0.004416757999933907,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07505680600024789
XML100_3115_26,XML,cvrplib/XML/XML100_3115_26.vrp,101,,,12823.0,,5,,0,0.004729159999442345,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07737626600010117
