instance,subset,dimension,runs,bks,bks_routes,route_gap,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
X-n2307-k34,XL,2307,1,,,,379889.0,,,,0.0,379889.0,0.0,0.002729024000473146,0.0,full_experiment_seed0_final.csv,
X-n233-k16,X,233,1,19230.0,17,0,20368.0,5.917836713468539,5.917836713468539,5.917836713468539,0.0,20368.0,0.0,1.0217459250006868,5.0,full_experiment_seed0_final.csv,
X-n2354-k631,XL,2354,1,,,,1350621.0,,,,0.0,1350621.0,0.0,0.003302674000224215,0.0,full_experiment_seed0_final.csv,
X-n237-k14,X,237,1,27042.0,14,0,29837.0,10.335773981214407,10.335773981214407,10.335773981214407,0.0,29837.0,0.0,1.0454902940000466,6.0,full_experiment_seed0_final.csv,
X-n2401-k408,XL,2401,1,,,,911021.0,,,,0.0,911021.0,0.0,0.003709571999934269,0.0,full_experiment_seed0_final.csv,
X-n2447-k290,XL,2447,1,,,,530352.0,,,,0.0,530352.0,0.0,0.0035083640004813788,0.0,full_experiment_seed0_final.csv,
X-n2494-k194,XL,2494,1,,,,584157.0,,,,0.0,584157.0,0.0,0.004169165999883262,0.0,full_experiment_seed0_final.csv,
X-n251-k28,X,251,1,38684.0,28,0,40644.0,5.066694240512874,5.066694240512874,5.066694240512874,0.0,40644.0,0.0,1.0418084580005598,18.0,full_experiment_seed0_final.csv,
X-n2541-k121,XL,2541,1,,,,598013.0,,,,0.0,598013.0,0.0,0.004004346999863628,0.0,full_experiment_seed0_final.csv,
X-n2587-k66,XL,2587,1,,,,440851.0,,,,0.0,440851.0,0.0,0.0031170989996098797,0.0,full_experiment_seed0_final.csv,
