batch	absolute_path	deleted_logical_bytes	classification	validation_conclusion
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-measnote-19af96c2-preflight-6r-gpt55-20260619T212315Z-claw	65280751	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-measurementdetail-c822329d-preflight-6r-gpt55-20260620T061140Z-claw	65241982	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-mechanismbind-1c2c1bbb-preflight-6r-gpt55-20260619T234940Z-claw	65255846	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-nestedproj-9f353314-preflight-6r-gpt55-20260620T034239Z-claw	65267884	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-partialrec-cec86a07-preflight-6r-gpt55-20260620T030033Z-claw	65260868	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-posplateau-be6cb8b5-preflight-6r-gpt55-20260619T232818Z-claw	65254961	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-postfails-2a1c996c-preflight-6r-gpt55-20260619T223801Z-claw	65282089	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-postruninput-7647b1d6-preflight-6r-gpt55-20260620T053307Z-claw	65240637	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-postrunstatus-0f77f5f6-preflight-6r-gpt55-20260620T050837Z-claw	65240906	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-postrunstatus-25c254df-preflight-6r-gpt55-20260620T045604Z-claw	65240906	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-postrunstatus-bb359851-preflight-6r-gpt55-20260620T051931Z-claw	65240906	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
batch-1	/home/clawd/research/scion-experiments/v04-warehouse-v2-followup-postrunstatus-cf365584-preflight-6r-gpt55-20260620T040959Z-claw	65240870	prepared-only	PASS:status=prepared,report_only=true,state_mutations=false,lifecycle_null,older_than_48h,no_git,no_active_owner,superseded
