instance,subset,dimension,runs,bks,bks_routes,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
X-n2727-k546,XL,2727,1,,,708644.0,,,,0.0,708644.0,0.0,0.004139137000038318,0.0,full_experiment_seed0.csv,
X-n275-k28,X,275,1,21245.0,28,22471.0,5.770769592845375,5.770769592845375,5.770769592845375,0.0,22471.0,0.0,1.0734549560002051,8.0,full_experiment_seed0.csv,
X-n2774-k286,XL,2774,1,,,814479.0,,,,0.0,814479.0,0.0,0.00389539900015734,0.0,full_experiment_seed0.csv,
X-n280-k17,X,280,1,33503.0,17,36281.0,8.291794764647943,8.291794764647943,8.291794764647943,0.0,36281.0,0.0,1.2136979309998424,6.0,full_experiment_seed0.csv,
X-n2821-k208,XL,2821,1,,,715263.0,,,,0.0,715263.0,0.0,0.002954574000341381,0.0,full_experiment_seed0.csv,
X-n284-k15,X,284,1,20226.0,15,22218.0,9.84870958172649,9.84870958172649,9.84870958172649,0.0,22218.0,0.0,1.002041601000201,3.0,full_experiment_seed0.csv,
X-n2867-k120,XL,2867,1,,,785463.0,,,,0.0,785463.0,0.0,0.0034373010003037052,0.0,full_experiment_seed0.csv,
X-n289-k60,X,289,1,95151.0,61,98219.0,3.22434866685584,3.22434866685584,3.22434866685584,0.0,98219.0,0.0,1.1721505440000328,7.0,full_experiment_seed0.csv,
X-n2914-k95,XL,2914,1,,,465960.0,,,,0.0,465960.0,0.0,0.0027915740001844824,0.0,full_experiment_seed0.csv,
X-n294-k50,X,294,1,47161.0,51,48474.0,2.784080066156358,2.784080066156358,2.784080066156358,0.0,48474.0,0.0,1.0320875689999411,10.0,full_experiment_seed0.csv,
X-n2961-k55,XL,2961,1,,,944843.0,,,,0.0,944843.0,0.0,0.00357132899989665,0.0,full_experiment_seed0.csv,
X-n298-k31,X,298,1,34231.0,31,36124.0,5.53007507814554,5.53007507814554,5.53007507814554,0.0,36124.0,0.0,1.2241754490000858,8.0,full_experiment_seed0.csv,
X-n3007-k658,XL,3007,1,,,919972.0,,,,0.0,919972.0,0.0,0.0038747959997635917,0.0,full_experiment_seed0.csv,
X-n303-k21,X,303,1,21736.0,21,23640.0,8.75966139124034,8.75966139124034,8.75966139124034,0.0,23640.0,0.0,1.1735322439999436,7.0,full_experiment_seed0.csv,
X-n3054-k461,XL,3054,1,,,1466493.0,,,,0.0,1466493.0,0.0,0.008235317000071518,0.0,full_experiment_seed0.csv,
X-n308-k13,X,308,1,25859.0,13,28414.0,9.880505820023975,9.880505820023975,9.880505820023975,0.0,28414.0,0.0,1.313592606000384,2.0,full_experiment_seed0.csv,
X-n3101-k311,XL,3101,1,,,522279.0,,,,0.0,522279.0,0.0,0.0049029820002033375,0.0,full_experiment_seed0.csv,
X-n313-k71,X,313,1,94043.0,72,97814.0,4.009867826419829,4.009867826419829,4.009867826419829,0.0,97814.0,0.0,1.1801557210001192,4.0,full_experiment_seed0.csv,
X-n3147-k232,XL,3147,1,,,827741.0,,,,0.0,827741.0,0.0,0.0031984750003175577,0.0,full_experiment_seed0.csv,
X-n317-k53,X,317,1,78355.0,53,79651.0,1.6540105928147535,1.6540105928147535,1.6540105928147535,0.0,79651.0,0.0,1.0869986790003168,4.0,full_experiment_seed0.csv,
X-n3194-k161,XL,3194,1,,,598441.0,,,,0.0,598441.0,0.0,0.003293830000075104,0.0,full_experiment_seed0.csv,
X-n322-k28,X,322,1,29834.0,28,31751.0,6.425554736207012,6.425554736207012,6.425554736207012,0.0,31751.0,0.0,1.0215485730000182,7.0,full_experiment_seed0.csv,
X-n3241-k115,XL,3241,1,,,584547.0,,,,0.0,584547.0,0.0,0.004378862000066874,0.0,full_experiment_seed0.csv,
X-n327-k20,X,327,1,27532.0,20,29920.0,8.673543513003052,8.673543513003052,8.673543513003052,0.0,29920.0,0.0,1.2384722289998535,2.0,full_experiment_seed0.csv,
X-n3287-k30,XL,3287,1,,,285515.0,,,,0.0,285515.0,0.0,0.003081023000049754,0.0,full_experiment_seed0.csv,
